Time of Day (radians), Surface Temperature (K)
   1.39738,  50.30805
   1.39864,  50.30572
   1.39989,  50.30340
   1.40115,  50.30107
   1.40241,  50.29874
   1.40366,  50.29642
   1.40492,  50.29410
   1.40618,  50.29177
   1.40743,  50.28945
   1.40869,  50.28713
   1.40995,  50.28481
   1.41120,  50.28250
   1.41246,  50.28018
   1.41372,  50.27786
   1.41497,  50.27555
   1.41623,  50.27323
   1.41749,  50.27092
   1.41874,  50.26861
   1.42000,  50.26630
   1.42126,  50.26399
   1.42251,  50.26168
   1.42377,  50.25937
   1.42503,  50.25706
   1.42628,  50.25476
   1.42754,  50.25245
   1.42880,  50.25015
   1.43005,  50.24785
   1.43131,  50.24555
   1.43257,  50.24325
   1.43382,  50.24095
   1.43508,  50.23865
   1.43634,  50.23635
   1.43759,  50.23405
   1.43885,  50.23176
   1.44011,  50.22946
   1.44136,  50.22717
   1.44262,  50.22488
   1.44388,  50.22259
   1.44513,  50.22030
   1.44639,  50.21801
   1.44765,  50.21572
   1.44890,  50.21343
   1.45016,  50.21114
   1.45142,  50.20886
   1.45267,  50.20658
   1.45393,  50.20429
